trial,status,error,lr,dropout,weight_decay,tune_stage1_epochs,tune_stage2_epochs,val_subset_size,val_full_size,val_HR@50
10,ok,,0.001,0.1,0.0,3,3,6040,6040,11.473509933774835
1,ok,,0.01,0.1,0.0,3,3,6040,6040,10.364238410596025
12,ok,,0.001,0.1,0.001,3,3,6040,6040,7.682119205298013
19,ok,,0.0001,0.1,0.0,3,3,6040,6040,7.0364238410596025
21,ok,,0.0001,0.1,0.001,3,3,6040,6040,6.390728476821192
24,ok,,0.0001,0.3,0.001,3,3,6040,6040,4.801324503311259
20,ok,,0.0001,0.1,0.1,3,3,6040,6040,4.701986754966887
18,ok,,0.001,0.7,0.001,3,3,6040,6040,4.23841059602649
26,ok,,0.0001,0.7,0.1,3,3,6040,6040,4.2052980132450335
13,ok,,0.001,0.3,0.0,3,3,6040,6040,3.8245033112582782
27,ok,,0.0001,0.7,0.001,3,3,6040,6040,3.741721854304636
23,ok,,0.0001,0.3,0.1,3,3,6040,6040,3.642384105960265
22,ok,,0.0001,0.3,0.0,3,3,6040,6040,3.6258278145695364
4,ok,,0.01,0.3,0.0,3,3,6040,6040,2.814569536423841
7,ok,,0.01,0.7,0.0,3,3,6040,6040,2.4503311258278146
16,ok,,0.001,0.7,0.0,3,3,6040,6040,2.4006622516556293
6,ok,,0.01,0.3,0.001,3,3,6040,6040,2.384105960264901
3,ok,,0.01,0.1,0.001,3,3,6040,6040,2.2682119205298013
9,ok,,0.01,0.7,0.001,3,3,6040,6040,1.970198675496689
8,ok,,0.01,0.7,0.1,3,3,6040,6040,1.7549668874172186
25,ok,,0.0001,0.7,0.0,3,3,6040,6040,1.639072847682119
5,ok,,0.01,0.3,0.1,3,3,6040,6040,1.1920529801324504
15,ok,,0.001,0.3,0.001,3,3,6040,6040,0.016556291390728478
11,ok,,0.001,0.1,0.1,3,3,6040,6040,0.0
2,ok,,0.01,0.1,0.1,3,3,6040,6040,0.0
17,ok,,0.001,0.7,0.1,3,3,6040,6040,0.0
14,ok,,0.001,0.3,0.1,3,3,6040,6040,0.0
