trial,status,error,method,lr,dropout,weight_decay,logq_weight,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
142,ok,,LogQ,0.001,0.3,0.001,0.1,3,7102,7102,8.319716096735325,3.8017459870459027,1.6755843424387498,0.7504097434748046,3.8017459870459027,1.2104520497524296,2.982456140350877,1.3356917288616699,6.7669172932330826,2.154543974271116,0.0,0.0,0.0,0.0,0.1327500377130789,0.0,6.465051329246478,0.0,15.900027328265287,0.3348921405943581,0.0,5.920187627111944,0.0,9.33893723386321,7102,3990,3112
202,ok,,LogQ,0.0001,0.3,0.001,0.1,3,7102,7102,8.319958239185567,3.731343283582089,1.379892987890735,0.6828598535841353,3.731343283582089,1.1885714186504288,2.456140350877193,1.2154563108156713,6.641604010025063,2.115597547683044,0.0,0.0,0.0,0.0,0.14481822295972244,0.0,6.299247732516369,0.0,21.162934480652517,0.4103182983858802,0.003771307889576105,5.794207419116706,0.0340749084764855,17.03152728438382,7102,3990,3112
199,ok,,LogQ,0.0001,0.3,0.01,0.1,3,7102,7102,8.31950872122836,3.5623767952689387,1.2954097437341594,0.7494509622558256,3.5623767952689387,1.2328483249529745,2.305764411027569,1.333985146351096,6.315789473684211,2.187635335431903,0.0,0.0,0.032133676092544985,0.008683745322214645,0.09654548197314829,0.01508523155830442,5.829995339503093,14.82680934947902,14.328005650141652,0.3439432795293408,0.018856539447880526,5.597824866253182,7.98338496198254,8.582478318723563,7102,3990,3112
188,ok,,LogQ,0.0001,0.1,0.01,1.0,3,7102,7102,8.494730151429469,3.3793297662630244,1.5066178541255983,0.8107321703220897,3.3793297662630244,1.2180555211610993,2.681704260651629,1.4430626249692933,6.015037593984962,2.1680777722521625,0.0,0.0,0.0,0.0,0.10861366721979183,0.0,6.321242040945085,0.0,14.303909107879065,0.33187509428269724,0.0,5.719829454907019,0.0,8.287499458173809,7102,3990,3112
196,ok,,LogQ,0.0001,0.3,0.1,0.1,3,7102,7102,8.32411376148665,3.13996057448606,1.3658124471979722,0.6426385988491412,3.13996057448606,1.0263021741530944,2.431077694235589,1.143864493490376,5.5889724310776945,1.8267664262745058,0.0,0.0,0.0,0.0,0.09051138934982653,0.0,5.982220009524195,0.0,11.617573942469296,0.2805853069844622,0.03017046311660884,5.441900408490139,2.2055758941143337,7.130023888734815,7102,3990,3112
211,ok,,LogQ,0.0001,0.5,0.01,0.1,3,7102,7102,8.321532846308079,3.0695578710222473,0.6758659532526049,0.37210552352397885,3.0695578710222473,0.8990217904791754,1.1779448621553885,0.6534016815429813,5.413533834586466,1.586510500258051,0.032133676092544985,0.011446246372365751,0.06426735218508997,0.017569363738264638,0.0754261577915221,0.018856539447880526,4.597518816767292,39.93945367502112,6.910758322281674,0.2836023532961231,0.071654849901946,5.06049315744464,18.04139678963672,7.154399226099695,7102,3990,3112
203,ok,,LogQ,0.0001,0.3,0.001,1.0,3,7102,7102,8.523107178357183,2.787947057166995,0.7885102787947058,0.3067474253147828,2.787947057166995,0.7331652991190669,1.4035087719298245,0.5459950412495206,4.962406015037594,1.3049974822916324,0.0,0.0,0.0,0.0,0.12068185246643535,0.0,5.604778645990176,0.0,17.172272490605135,0.3952330668275758,0.0,5.420653740422058,0.0,13.973497888275821,7102,3990,3112
214,ok,,LogQ,0.0001,0.5,0.001,0.1,3,7102,7102,8.323481579216159,2.7316248943959445,1.0137989298789074,0.566746533063885,2.7316248943959445,0.9479857554126283,1.8045112781954888,1.0087804205061934,4.837092731829574,1.6814671537854189,0.0,0.0,0.032133676092544985,0.007564553771421537,0.0754261577915221,0.003771307889576105,5.893026475751047,0.022528865108420164,14.35392209386146,0.27153416804947955,0.01508523155830442,5.1603139842928085,4.250352013517319,8.689983534432644,7102,3990,3112
200,ok,,LogQ,0.0001,0.3,0.01,1.0,3,7102,7102,8.576302885198269,2.6753027316248943,0.8870740636440438,0.5059751322050173,2.6753027316248943,0.8816388891629785,1.5789473684210527,0.9006103731629156,4.736842105263158,1.5622819790151279,0.0,0.0,0.032133676092544985,0.008963462263853788,0.08749434303816564,0.011313923668728316,5.870466037425485,0.42664038299070683,12.972977774795492,0.31678986272439286,0.026399155227032733,5.358530580411995,6.144466347507745,7.2039392518559175,7102,3990,3112
191,ok,,LogQ,0.0001,0.1,0.001,1.0,3,7102,7102,8.469098713933205,2.5767389467755564,0.5773021684032666,0.24211819697770365,2.5767389467755564,0.668041087708958,1.0275689223057645,0.4309582543698375,4.586466165413534,1.1890796503531378,0.0,0.0,0.0,0.0,0.3017046311660884,0.0,5.3822416091537875,0.0,32.08495628369856,0.7271081611102731,0.0,5.354750833184418,0.0,21.368561930048923,7102,3990,3112
