trial,status,error,lr,dropout,weight_decay,tune_s1_epochs,tune_s2_epochs,val_subset_size,val_full_size,val_HR@50
10,ok,,0.001,0.1,0.0,3,3,7102,7102,0.9574767671078569
15,ok,,0.001,0.3,0.001,3,3,7102,7102,0.6477048718670797
19,ok,,0.0001,0.1,0.0,3,3,7102,7102,0.6195437904815545
27,ok,,0.0001,0.7,0.001,3,3,7102,7102,0.5773021684032666
21,ok,,0.0001,0.1,0.001,3,3,7102,7102,0.5491410870177414
13,ok,,0.001,0.3,0.0,3,3,7102,7102,0.49281892424669105
18,ok,,0.001,0.7,0.001,3,3,7102,7102,0.46465784286116585
12,ok,,0.001,0.1,0.001,3,3,7102,7102,0.42241622078287805
24,ok,,0.0001,0.3,0.001,3,3,7102,7102,0.40833568009011545
1,ok,,0.01,0.1,0.0,3,3,7102,7102,0.38017459870459025
22,ok,,0.0001,0.3,0.0,3,3,7102,7102,0.26753027316248945
7,ok,,0.01,0.7,0.0,3,3,7102,7102,0.22528865108420162
25,ok,,0.0001,0.7,0.0,3,3,7102,7102,0.22528865108420162
20,ok,,0.0001,0.1,0.1,3,3,7102,7102,0.22528865108420162
17,ok,,0.001,0.7,0.1,3,3,7102,7102,0.21120811039143902
16,ok,,0.001,0.7,0.0,3,3,7102,7102,0.19712756969867645
4,ok,,0.01,0.3,0.0,3,3,7102,7102,0.19712756969867645
23,ok,,0.0001,0.3,0.1,3,3,7102,7102,0.18304702900591382
26,ok,,0.0001,0.7,0.1,3,3,7102,7102,0.16896648831315123
11,ok,,0.001,0.1,0.1,3,3,7102,7102,0.09856378484933823
14,ok,,0.001,0.3,0.1,3,3,7102,7102,0.042241622078287806
8,ok,,0.01,0.7,0.1,3,3,7102,7102,0.0
9,ok,,0.01,0.7,0.001,3,3,7102,7102,0.0
2,ok,,0.01,0.1,0.1,3,3,7102,7102,0.0
3,ok,,0.01,0.1,0.001,3,3,7102,7102,0.0
5,ok,,0.01,0.3,0.1,3,3,7102,7102,0.0
6,ok,,0.01,0.3,0.001,3,3,7102,7102,0.0
